ID,Name,Joining Date,Age,Birth Date,Gender,Education,Average Working Hours,Skill Level,Defect Type,Defect Rate
27466,Dale Gilbert,2021-04-26,21,2003-04-23,Female,Diploma,25.788073272127775,Beginner,SPI Errors,48.9066
27466,Dale Gilbert,2021-04-26,21,2003-04-23,Female,Diploma,22.189826171655117,Beginner,SPI Errors,15.1966
27466,Dale Gilbert,2021-04-26,21,2003-04-23,Female,Diploma,24.385795706644227,Beginner,Runoff,28.4736
27466,Dale Gilbert,2021-04-26,21,2003-04-23,Female,Diploma,29.253168871835733,Beginner,Runoff,9.8801
27466,Dale Gilbert,2021-04-26,21,2003-04-23,Female,Diploma,20.239240904634983,Beginner,SPI Errors,47.2479
20608,Thomas Barnes,2022-05-13,23,2001-04-23,Female,A/L,25.850079866760083,Beginner,High Low,22.9295
20608,Thomas Barnes,2022-05-13,23,2001-04-23,Female,A/L,20.962031359664692,Beginner,High Low,25.7789
20608,Thomas Barnes,2022-05-13,23,2001-04-23,Female,A/L,25.922003497966656,Beginner,Runoff,29.5445
20608,Thomas Barnes,2022-05-13,23,2001-04-23,Female,A/L,21.916428003417888,Beginner,Runoff,3.5975
20608,Thomas Barnes,2022-05-13,23,2001-04-23,Female,A/L,24.556546910060966,Beginner,High Low,18.2347
58506,Carolyn Moore,2024-01-11,24,2000-04-23,Female,Diploma,29.44289594210185,Beginner,SPI Errors,42.0469
58506,Carolyn Moore,2024-01-11,24,2000-04-23,Female,Diploma,21.179362830052757,Beginner,SPI Errors,38.6909
58506,Carolyn Moore,2024-01-11,24,2000-04-23,Female,Diploma,27.580615496674554,Beginner,SPI Errors,0.4542
58506,Carolyn Moore,2024-01-11,24,2000-04-23,Female,Diploma,21.73403912853879,Beginner,Runoff,23.9086
58506,Carolyn Moore,2024-01-11,24,2000-04-23,Female,Diploma,27.23637224666602,Beginner,Runoff,38.9719
39626,Catherine Khan,2022-04-27,26,1998-04-24,Female,A/L,26.56435021137782,Beginner,Runoff,40.0474
39626,Catherine Khan,2022-04-27,26,1998-04-24,Female,A/L,23.524311577739038,Beginner,SPI Errors,12.4957
39626,Catherine Khan,2022-04-27,26,1998-04-24,Female,A/L,22.76725160146023,Beginner,SPI Errors,15.5762
39626,Catherine Khan,2022-04-27,26,1998-04-24,Female,A/L,29.10397245495102,Beginner,SPI Errors,3.2572
39626,Catherine Khan,2022-04-27,26,1998-04-24,Female,A/L,29.97587251285087,Beginner,Runoff,2.7662
17506,Luis Henderson,2023-02-28,28,1996-04-24,Female,Diploma,43.98814568730763,Expert,High Low,15.3955
17506,Luis Henderson,2023-02-28,28,1996-04-24,Female,Diploma,43.427917120059846,Expert,High Low,17.2904
17506,Luis Henderson,2023-02-28,28,1996-04-24,Female,Diploma,45.59651880899057,Expert,Runoff,6.4050
17506,Luis Henderson,2023-02-28,28,1996-04-24,Female,Diploma,48.871321317771745,Expert,Openseam,8.9774
17506,Luis Henderson,2023-02-28,28,1996-04-24,Female,Diploma,48.48896147421334,Expert,High Low,29.6669
28608,Darrell Chavez,2021-08-22,30,1994-04-25,Female,Diploma,29.61644991487765,Beginner,SPI Errors,21.9556
28608,Darrell Chavez,2021-08-22,30,1994-04-25,Female,Diploma,24.905673556370033,Beginner,SPI Errors,18.7529
28608,Darrell Chavez,2021-08-22,30,1994-04-25,Female,Diploma,25.561919255407435,Beginner,Runoff,21.3265
28608,Darrell Chavez,2021-08-22,30,1994-04-25,Female,Diploma,23.29578006155328,Beginner,SPI Errors,22.0201
28608,Darrell Chavez,2021-08-22,30,1994-04-25,Female,Diploma,21.078675989261413,Beginner,Runoff,29.7506
57663,Craig Ramos,2022-10-12,30,1994-04-25,Female,O/L,35.80614723439614,Intermediate,High Low,44.2347
57663,Craig Ramos,2022-10-12,30,1994-04-25,Female,O/L,35.880704920266204,Intermediate,Runoff,7.3555
57663,Craig Ramos,2022-10-12,30,1994-04-25,Female,O/L,34.821225940665485,Intermediate,High Low,30.7908
57663,Craig Ramos,2022-10-12,30,1994-04-25,Female,O/L,33.315103843369016,Intermediate,Openseam,6.6012
57663,Craig Ramos,2022-10-12,30,1994-04-25,Female,O/L,31.415214645897393,Intermediate,Runoff,30.0103
40605,Kristen Chapman,2020-11-05,28,1996-04-24,Female,Diploma,42.30857167689445,Expert,SPI Errors,33.2545
40605,Kristen Chapman,2020-11-05,28,1996-04-24,Female,Diploma,45.65305984268214,Expert,Runoff,33.6355
40605,Kristen Chapman,2020-11-05,28,1996-04-24,Female,Diploma,49.678662257260626,Expert,Runoff,20.5314
40605,Kristen Chapman,2020-11-05,28,1996-04-24,Female,Diploma,47.35323943443407,Expert,Runoff,21.9453
40605,Kristen Chapman,2020-11-05,28,1996-04-24,Female,Diploma,47.704210977824545,Expert,Openseam,42.8035
52689,Brian Lawson,2021-05-01,28,1996-04-24,Female,O/L,33.56725855413116,Intermediate,High Low,44.5091
52689,Brian Lawson,2021-05-01,28,1996-04-24,Female,O/L,39.226101765316045,Intermediate,Openseam,13.2401
52689,Brian Lawson,2021-05-01,28,1996-04-24,Female,O/L,36.796507912358024,Intermediate,High Low,35.2271
52689,Brian Lawson,2021-05-01,28,1996-04-24,Female,O/L,30.487715099523328,Intermediate,High Low,33.9336
52689,Brian Lawson,2021-05-01,28,1996-04-24,Female,O/L,30.120347212929033,Intermediate,Runoff,18.8365
69865,Stephanie Rodriguez,2020-08-13,21,2003-04-23,Female,Diploma,49.15285551456863,Expert,Runoff,11.5889
69865,Stephanie Rodriguez,2020-08-13,21,2003-04-23,Female,Diploma,48.97908537671093,Expert,Openseam,1.5487
69865,Stephanie Rodriguez,2020-08-13,21,2003-04-23,Female,Diploma,45.49451097156372,Expert,Openseam,21.3146
69865,Stephanie Rodriguez,2020-08-13,21,2003-04-23,Female,Diploma,40.24092397995327,Expert,High Low,38.9335
69865,Stephanie Rodriguez,2020-08-13,21,2003-04-23,Female,Diploma,42.63591414914153,Expert,SPI Errors,21.9206
72892,Erin Kidd,2021-03-25,21,2003-04-23,Female,Diploma,21.0645483542948,Beginner,SPI Errors,10.7173
